"ID";"ano";"clube";"receita_anual";"qnt_jogadores";"media_idade";"estrangeiros";"campeao"
1;2021;"Atlético-MG";"475";48;"23,9";8;1
2;2024;"Botafogo";"719,7";59;"24,2";12;1
3;2011;"Corinthians";"290,5";53;"23,6";4;1
4;2015;"Corinthians";"298,4";44;"23,8";5;1
5;2017;"Corinthians";"391,2";43;"23,5";3;1
6;2013;"Cruzeiro";"187,9";49;"24,5";5;1
7;2014;"Cruzeiro";"223,2";44;"24,1";4;1
8;2009;"Flamengo";"120";49;"23,5";5;1
9;2019;"Flamengo";"950,4";48;"23,6";7;1
10;2020;"Flamengo";"668,6";64;"22";9;1
11;2010;"Fluminense";"76,8";61;"23,4";6;1
12;2012;"Fluminense";"151,2";51;"22,7";4;1
13;2016;"Palmeiras";"497,7";47;"25";5;1
14;2018;"Palmeiras";"688,6";51;"24,4";4;1
15;2022;"Palmeiras";"856";42;"23,1";6;1
16;2023;"Palmeiras";"908,9";42;"23";7;1
17;2007;"São Paulo";"190";43;"23,4";3;1
18;2008;"São Paulo";"160,5";56;"22,9";2;1
