Ano;Posição;Clube;Vitorias;Empates;Derrotas;Gols_feitos;Gols_sofridos;Saldo;Pontos;Receita_anual;Deficit_ou_Superavit;Qtd_Jogadores;Idade_Media;Estrangeiros;Media_plantel;Valor_plantel;Campeao
2007;20;América-RN;4;5;29;24;80;-56;17;21;2;67;24,4;2;0,032;2,18;0
2007;8;Atlético-MG;15;10;13;63;51;12;55;58,3;-27,5;44;23,9;2;0,29;12,75;0
2007;9;Botafogo;14;13;11;62;58;4;55;41,1;-3,7;58;24,5;2;0,294;17,07;0
2007;17;Corinthians;10;14;14;40;50;-10;44;134,6;-23,2;61;23,3;2;0,411;25,05;0
2007;5;Cruzeiro;18;6;14;73;58;15;60;77,6;-2,8;53;22,4;1;0,256;13,55;0
2007;13;Figueirense;14;11;13;57;56;1;53;18,9;0,4;38;21,8;1;0,109;4,15;0
2007;3;Flamengo;17;10;11;55;49;6;61;89,4;-59,2;42;23,2;2;0,374;15,73;0
2007;4;Fluminense;16;13;9;57;39;18;61;39,3;-139,4;39;23;0;0,527;20,55;0
2007;16;Goiás;13;6;19;49;62;-13;45;39,7;7,8;45;25;2;0,097;4,35;0
2007;6;Grêmio;17;7;14;44;43;1;58;109;14,6;52;23,2;7;0,331;17,2;0
2007;11;Internacional;15;9;14;49;44;5;54;155,8;18,9;68;23,6;8;0,33;22,45;0
2007;18;Juventude;11;8;19;43;65;-22;41;14,9;-11,4;65;23,9;3;0,027;1,75;0
2007;15;Náutico;14;7;17;66;63;3;49;12,4;-12,9;56;24,4;2;0,023;1,3;0
2007;7;Palmeiras;16;10;12;48;47;1;58;86,2;-24,1;44;24;3;0,236;10,38;0
2007;19;Paraná;11;8;19;42;64;-22;41;24,9;-0,3;48;23,6;0;0,098;4,7;0
2007;2;Santos;19;5;14;57;47;10;62;53,1;-36,6;51;24,1;6;0,486;24,8;0
2007;1;São Paulo;23;8;7;55;19;36;77;190;3,8;43;23,4;3;0,47;20,2;1
2007;10;Vasco da Gama;15;9;14;58;47;11;54;51;-9,2;52;23,8;3;0,079;4,1;0
2008;12;Atlético-MG;12;12;14;50;61;-11;48;57,6;-36,4;54;23,2;4;0,114;6,15;0
2008;7;Botafogo;15;8;15;51;44;7;53;51,5;-10,3;49;24,9;3;0,233;11,4;0
2008;9;Coritiba;14;11;13;55;48;7;53;37,6;1;44;23,3;3;0,048;2,1;0
2008;3;Cruzeiro;21;4;13;59;44;15;67;94;-17,4;51;22,9;2;0,254;12,98;0
2008;10;Vitória;15;7;16;48;44;4;52;18,8;-1,4;45;24,1;2;0,022;1;0
2008;17;Figueirense;11;11;16;49;73;-24;44;28,3;-1,5;54;22,9;1;0,178;9,6;0
2008;5;Flamengo;18;10;10;67;48;19;64;117,9;-3,2;40;23,3;4;0,726;29,05;0
2008;14;Fluminense;11;12;15;49;48;1;45;66,4;-43,2;44;22,9;2;0,238;10,45;0
2008;8;Goiás;14;11;13;57;47;10;53;20,6;-19,7;53;25;1;0,053;2,8;0
2008;2;Grêmio;21;9;8;59;35;24;72;99;-10;48;22,8;5;0,254;12,2;0
2008;6;Internacional;15;9;14;48;47;1;54;142,1;-4,4;50;23,7;5;0,911;45,55;0
2008;4;Palmeiras;19;8;11;55;45;10;65;138,8;-9,4;41;23,6;1;0,637;26,1;0
2008;19;Portuguesa;9;11;18;48;70;-22;38;47,1;0,1;46;24,7;1;0,193;8,9;0
2008;15;Santos;11;12;15;44;53;-9;45;65,3;-24,7;53;22,2;7;0,262;13,9;0
2008;1;São Paulo;21;12;5;66;36;30;75;160,5;0,4;56;22,9;2;1,2;67,4;1
